evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
75 -0.0652521583 -0.275780 -0.790228 0.250398 0.862493 -0.701186 -0.461714 -0.449836 0.904296 -0.160959 0.103036 -0.496454
76 -0.4492255491 -0.316279 0.784702 -0.617539 -0.888662 -0.070031 1.000000 0.285508 0.236873 0.268215 0.359566 -1.000000
77 -0.5909191974 -0.420022 -0.007578 -0.071209 -0.098161 -0.341900 -0.131295 0.474768 0.259659 0.088218 -0.057119 -1.000000
78 -0.4335427926 0.175788 -0.381412 -0.659734 0.004337 -0.595694 0.724589 -0.122438 0.960356 -0.127918 0.249307 -0.808879
79 -0.5271887228 -0.542057 -0.195843 -0.672425 -0.023555 -0.324214 0.737529 0.231520 0.689096 0.342044 0.105634 -0.736107
80 -0.5168459085 -0.089546 0.140747 0.119441 0.157310 -0.433636 0.061179 -0.441363 0.724502 -0.848783 0.126360 -1.000000
81 -0.6238559681 0.125503 0.143099 -0.231822 0.238910 -0.528857 -0.184640 0.180695 0.403770 0.088420 0.686119 -1.000000
82 -0.4098999034 -0.757106 -0.198194 -0.321162 -0.105155 -0.228992 0.983348 -0.390538 1.000000 -0.595158 -0.454125 -0.927979
83 -0.4930182481 0.021228 0.002237 -0.215388 0.288477 -0.318177 0.029997 0.252643 0.948660 0.026312 0.140817 -0.702736
84 -0.5090996772 -0.652831 -0.057333 -0.337597 -0.154723 -0.439672 0.768711 -0.462486 0.464938 -0.533051 0.091176 -1.000000
85 -0.3892010147 -0.530807 -0.000237 0.165804 -0.015949 -0.825135 0.746179 0.085640 0.579397 -0.392728 0.156982 -0.733915
86 -0.6676920915 -0.100796 -0.054859 -0.718788 0.149704 0.067286 0.052529 -0.295483 0.834201 -0.114010 0.075012 -1.000000
87 -0.4527521055 -0.451299 -0.123373 -0.813729 -0.019435 -0.284729 0.390326 -0.372944 1.000000 -0.882677 -0.010899 -0.601870
88 -0.6819333012 -0.180304 0.068277 0.260745 0.153190 -0.473120 0.408382 0.163101 0.410826 0.375939 0.242892 -1.000000
89 -0.6073013208 -0.234959 0.051645 0.313627 0.090654 -0.465709 -0.066176 -0.148333 0.379927 -0.018200 0.201179 -0.924008
90 -0.6302655559 -0.044530 -0.000098 -0.665571 0.208377 -0.181997 0.532047 0.199285 0.743910 0.302793 0.306605 -1.000000
91 -0.5450428828 0.061003 -0.659717 -0.508070 0.183329 -0.309307 0.287941 0.319440 0.649276 0.090919 0.423166 -1.000000
92 -0.4561451362 -0.340492 0.711264 0.156126 0.115702 -0.338399 0.177930 -0.268488 0.474561 0.193674 0.084619 -0.866605
93 -0.6936223406 -0.087276 -0.198509 -0.698595 -0.122665 -0.155614 0.294568 -0.018058 -0.133205 0.148592 -0.064687 -1.000000
94 -0.3373756963 -0.192213 0.250056 0.346651 0.421697 -0.492092 0.171303 0.069010 1.000000 0.136001 0.572472 -0.639211
95 -0.3464856748 -0.206817 -0.208036 -0.407377 0.608914 -0.216223 0.145816 0.219134 0.187937 0.349660 -0.620424 -0.990746
96 -0.5641596359 -0.072672 0.259582 0.055433 -0.309883 -0.431484 0.320055 -0.168182 0.935900 -0.065066 1.000000 -0.957951
97 -0.6202847397 -0.429632 0.002814 -0.436999 0.270573 -0.464950 -0.069960 -0.068543 0.372794 -0.053700 0.282857 -1.000000
98 -0.3533750011 0.150144 0.048732 0.085055 0.028459 -0.182756 0.535831 0.119496 0.751043 0.338293 0.224927 -0.744978
99 -0.6154280812 -0.120655 0.036511 -0.398108 0.412986 -0.202628 0.362683 -0.027264 0.683391 0.226911 0.042293 -0.885968
100 -0.6367292038 -0.085372 -0.207364 -0.648430 -0.036052 -0.529663 0.292140 0.109623 0.093829 0.179341 -0.016585 -1.000000
101 -0.4395779055 -0.011140 0.254806 -0.781719 0.211802 -0.622044 0.145892 0.055856 0.273818 0.675903 0.159190 -1.000000
102 -0.5868267047 -0.274074 -0.412847 -0.364235 -0.029286 0.157866 0.428895 -0.007444 0.293561 -0.364079 0.066556 -0.961338
103 -0.5790273851 -0.609565 -0.374215 -0.378793 -0.167372 -0.313474 0.478139 -0.097845 0.334170 0.234132 0.281813 -0.955525
104 -0.5550535923 0.324351 0.216174 -0.767161 0.349888 -0.150704 0.096647 0.146257 0.233210 0.077693 -0.056068 -1.000000
105 -0.6906226449 0.016633 -0.166276 -0.717672 -0.251420 0.057743 -0.187925 -0.153061 0.061793 -0.018723 -0.165826 -1.000000
106 -0.4178296907 -0.301846 0.008235 -0.428282 0.433936 -0.521920 0.762712 0.201474 0.505587 0.330547 0.391571 -0.949940
107 -0.4308911964 -0.011579 -0.115260 -0.769973 0.024722 -0.124222 0.413986 0.105196 0.332417 -0.099933 0.545207 -0.502432
108 -0.7047427688 -0.273635 -0.042781 -0.375980 0.157794 -0.339956 0.160800 -0.056783 0.234963 0.411757 -0.319462 -1.000000
109 -0.6280975022 -0.480138 0.516170 -0.454267 0.012554 -0.035160 0.100864 0.426189 0.134482 -0.059803 0.090867 -1.000000
110 -0.4391478309 0.194924 -0.674210 -0.691687 0.169962 -0.429018 0.473923 -0.377777 0.432898 0.371627 0.134878 -0.938655
111 -0.5103862443 -0.482185 0.131132 -0.227019 0.210970 -0.403290 0.057668 0.086733 -0.392548 0.389973 -0.439782 -1.000000
112 -0.4465028377 0.110196 -0.260128 -0.809666 -0.219947 -0.027410 0.135676 -0.097504 0.709941 -0.029949 0.095959 -0.990793
113 -0.5929011453 -0.141983 -0.192552 -0.897858 0.172158 -0.025572 -0.290941 0.046762 0.220407 0.319122 -0.255875 -0.799507
114 -0.6973818120 -0.230006 0.063555 -0.138827 -0.181135 -0.405129 0.484285 -0.057533 0.096986 0.040901 -0.087948 -1.000000
115 -0.1694128636 0.330356 0.358403 -0.270105 -0.021991 -0.702578 0.448847 0.147139 0.312398 0.094502 -0.435843 -0.642329
116 -0.5062182696 -0.702345 -0.487400 -0.766580 0.013014 0.271878 -0.255503 -0.157909 0.004995 0.265521 0.092020 -1.000000
